Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
servicesector,Zambia,49.88415781,53.61637699,54.6037591,54.24454286,52.09388496,54.18250641,56.22041422,53.51241774,53.13764285,53.19363227,50.3856175,52.8064557,51.5546034,49.02983473,47.45468016,47.51547574,48.95761463,48.80992854,49.72058727,49.72434291,49.09935171,48.95953352,47.50251461,44.8458309,41.47184911
"Share of tariff lines with international peaks, all products (%)",Zambia,,26.35534,,26.01051,,27.10561,25.34996,,48.74349,25.50897,49.00702,26.0417,52.14585,50.95691,34.63133,37.21247,34.01817,38.02538,35.29566,38.22985,38.9244,,,,34.55314
"Share of tariff lines with specific rates, all products (%)",Zambia,,0.275017,,0.0130053,,0.0333232,1.963671,,0,0.0026894,0,0,0.0141059,0.742773,1.574458,1.076697,0,1.319271,0,2.378088,1.113148,,,,0
"Tariff rate, applied, simple mean, all products (%)",Zambia,,11.65,,10.8,,14.72,10.64,,10.3,11.12,10.46,11.19,11.03,11.58,16.07,17.28,14.52,18.13,14.51,14.89,17.64,,,,15.39
"Tariff rate, applied, simple mean, primary products (%)",Zambia,,12.97,,12.95,,13.33,11.68,,11.69,11.24,8.41,9.27,9.25,13.12,23.94,30.31,14.87,32.66,13.72,25.22,28.1,,,,17.34
Tariffs,Zambia,,4.82,,3.39,,6.22,3.95,,3.35,3.55,3.45,3.29,4.1,5.25,9.63,11.56,9.32,12.58,8.7,10.68,14.28,,,,11.33
"Tariff rate, applied, weighted mean, primary products (%)",Zambia,,2.25,,0.77,,3.97,3.56,,1.68,1.98,1.67,2.28,3.09,5.61,9.1,14.95,9.7,19.38,8.22,16.86,22.83,,,,9.93
"Tariff rate, most favored nation, simple mean, all products (%)",Zambia,,13.99,,13.37,,14.76,13.03,,13.16,13.65,13.39,13.38,13.59,14.2,14.27,14.8,13.91,14.95,13.96,13.14,14.79,,,,14.15
"Tariff rate, most favored nation, weighted mean, all products (%)",Zambia,,9.39,,7.44,,16.88,8.94,,8.57,8.41,8.47,7.81,8.73,9.61,9.63,11.56,10.45,12.58,10.98,10.68,14.28,,,,11.33
unemployment,Zambia,5.199999809,6.03000021,5.539999962,5.03000021,8.520000458,,,,,7.849999905,,13.18999958,,7.929999828,,,15.89999962,,,,,12.93000031,,12,
Exports,Yemen,257011,288134,281903,187461,164304,169241,142997,220131,213882,195510,110428,122386,116844,118458,96305,80226,54710,45770,35338,30523,20969,17631,12673,10673,
Imports,Yemen,48617,67402,86663,71993,65996,16603,89814,293285,306130,360406,313570,277908,123751,320987,174529,223255,266769,145855,154585,42587,45136,73551,55687,52366,
fdi,Yemen,68,155,168,1536,33,251,249,94,90,287,888,2079,442,484,151,149,70,286,26,16,79,,20,,
electricity,Yemen,,73.75792694,72.75107574,62,79.19999695,68.8595047,67.31092834,66.09999847,75.59999847,52.40999985,61.86450577,60.67519379,59.50123978,58.33993149,57.18856812,55.80033493,54.90481949,49.59000015,52.62880325,51.48763657,50.34123993,49.18725586,47.99294662,46.79961014,42.6
ageing,Yemen,74.09817751,75.15372316,76.18093395,77.19848057,78.17505992,79.14153551,80.14513927,81.23720838,82.38575747,83.59554275,84.90728183,86.52441109,88.51990676,90.72227721,93.07522703,95.51392157,97.95722383,100.2101137,102.286849,104.3735208,106.4548525,108.4416828,110.2612341,111.9458536,113.452153
publicdebt,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,
business,Yemen,,,40.2,118.8,73.5,82.2,68,66.3,66.1,71.9,83.8,82.1,83,93,178.8,228,240.2,269.3,257,,,,,,
gdp,Yemen,,,,701.7148778,893.7165729,1069.817122,1488.416482,1557.601406,1497.747941,1349.990295,1284.617635,1249.063085,1045.805408,1153.536232,956.2306352,867.7829367,785.451113,669.1033619,583.3911504,543.9609809,515.139982,518.1486727,421.8212255,359.2170547,399.712718
GNI per capita growth (annual %),Yemen,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Yemen,,,,,26.71835477,24.57920836,24.08540947,22.55,20,17.4465,14.905,12.35,9.96,6.89,5.01,1.247824049,1.048597934,0.881222989,0.6047341,0.518796032,0.090802459,0.082500387,0.056628675,0.023323243,0.015025295
inflation,Yemen,,,,,,,,8.104725836,10.96844215,9.885387145,19.54356171,11.17483386,5.407760981,18.97625743,7.90511779,10.84479869,11.81126394,12.51509515,10.8323607,12.23853394,11.91159129,4.59,8.660219494,5.976508521,2.176726674
immigration,Yemen,,,,,,,1.282529228,,,,,1.211585873,,,,,0.834323975,,,,,0.806368272,,,
gender,Yemen,5.928999901,5.921999931,5.965000153,5.945000172,5.927000046,5.923999786,5.933000088,5.973999977,6.777999878,7.698999882,8.753000259,9.954999924,10.71899986,11.53299999,12.39999962,13.32199955,14.30300045,15.34799957,16.46199989,17.64599991,18.89800072,20.21800041,21.6060009,20.54500008,19.52799988
education,Yemen,,,,,,,,85.36000061,,,,89.69000244,,,,,,,,,,,,,
interest,Yemen,,,,,,,,,22.08333333,24.5,25,23.83333333,18,18,18,18,18,18.5,18,17.70833333,17.5,19.54166667,24.08333333,18.125,22.51666667
literacy,Yemen,,,,,,,,,,,,,,,,,,54.09999847,,,,,,,
militaryexp,Yemen,,,,,,,,3.966891088,4.079527404,4.573884277,4.926461703,4.685557034,5.653648497,4.445829498,4.850723487,4.308466835,4.868317012,5.301366496,6.854552052,6.89560795,5.481014692,4.915392365,5.172722436,6.081568704,5.805752597
oil,Yemen,,,,4.531310652,1.769286919,0.681565887,1.672627989,8.922348772,11.05494147,16.97847676,23.41712364,22.13941492,20.23717842,33.89115685,33.3550316,41.52257173,42.29916647,34.93712578,32.99795475,31.78046624,33.96828366,42.18256859,29.51950833,22.21247548,30.72717567
slums,Yemen,,,,44.2,,44.2,,45.46147,,48.083,,50.70453,,53.32605,,55.94758,,58.56911,,61.19064,,63.81216,,,
Real interest rate (%),Yemen,,,,,,,,,11.78875491,17.57133442,5.83025955,0.175576626,29.2517104,-1.975237376,6.4069326,3.843901737,-0.410914968,3.85120363,6.42114879,8.344431367,14.46089947,-3.245893657,-7.027619953,28.86967407,8.151436813
ruralpop,Yemen,61.454,62.092,62.727,63.358,63.984,64.606,65.223,65.835,66.441,67.042,67.636,68.224,68.806,69.381,69.949,70.51,71.064,71.61,72.151,72.685,73.213,73.733,74.248,74.756,75.257
servicesector,Yemen,,,,24.99408633,30.27668399,35.96985716,29.18888431,31.68078613,32.3503184,34.32984864,28.99685059,27.41656451,33.20270844,28.35596558,31.47618224,31.59793122,31.75562472,33.81044233,34.04553705,34.04701306,34.13511843,31.11502258,33.40064666,37.08397745,31.05539727
"Share of tariff lines with international peaks, all products (%)",Yemen,,,,,1.928221,4.037344,3.418698,,0.9997007,1.366132,1.301179,,1.367755,,,2.059184,,,,,,12.05213,,,
"Share of tariff lines with specific rates, all products (%)",Yemen,,,,,0.7690593,0.6986521,0.5979628,,0.7722239,0.7752588,0.6212395,,0.7311016,,,0.5435957,,,,,,0.0035901,,,
"Tariff rate, applied, simple mean, all products (%)",Yemen,,,,,5.76,5.47,5.52,,5.24,5.24,5.29,,5.48,,,6.79,,,,,,13.12,,,
"Tariff rate, applied, simple mean, primary products (%)",Yemen,,,,,6.26,6.22,6.67,,6.09,6.43,6.57,,7.1,,,9.74,,,,,,13.99,,,
Tariffs,Yemen,,,,,5.03,4.35,5.14,,4.09,4.3,3.84,,4.25,,,6.46,,,,,,11.73,,,
"Tariff rate, applied, weighted mean, primary products (%)",Yemen,,,,,4.3,3.02,4.15,,3.81,4.36,3.75,,4.02,,,7.66,,,,,,10.71,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Yemen,,,,,7.5,7.52,7.52,,7.48,7.48,7.11,,7.11,,,7.05,,,,,,12.81,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Yemen,,,,,5.4,6.2,6.15,,5.34,6.05,5.95,,5.71,,,6.46,,,,,,11.73,,,
unemployment,Yemen,,,,,,,,13.47000027,,,,17.81999969,14.63000011,14.97000027,15.32999992,15.69999981,16.04999924,16.22999954,,,,,11.46000004,,
Exports,Western Sahara,110,146,7,4,179,19,40,31,1,29,,3,7,6,2,5,2,59,56,37,89,,,,
Imports,Western Sahara,,,0,0.4,,,,0.7,0.7,,1.8,,,,,,0,0,0,,,,,,
electricity,West Bank and Gaza,,100,100,100,99.69999695,100,99.90000153,99.90000153,99.90000153,99.80000305,99.69999695,99.90000153,99.90000153,99.80000305,98.80000305,99.69999695,99.59999847,99.5,99.09999847,99.23685455,99.09999847,99.69999695,98.62315369,98.53929901,97.9
ageing,West Bank and Gaza,74.28235399,75.15923172,75.83273976,76.25168524,76.57204554,77.06123998,77.7295888,78.43773062,79.31485104,80.31252987,81.40081362,82.67952349,84.22181729,86.04450489,88.10296503,90.22561807,92.23642724,94.08811549,95.75241017,97.21919393,98.4828672,99.65530176,100.7834869,101.7989575,102.750618
publicdebt,West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,
business,West Bank and Gaza,,,40.3,46.8,45,46.8,83.3,87.2,86.5,92,97,94.4,55.8,80.9,108.2,122.3,92.9,92.9,,,,,,,
gdp,West Bank and Gaza,3663.969055,3233.568638,3656.858271,3562.330943,3620.360487,3527.613824,3272.154324,3352.112595,3315.297539,3067.438727,2880.798437,2557.075624,2191.781787,2035.202341,1664.245717,1570.1044,1543.701414,1422.190886,1257.69857,1156.217473,1335.553195,1476.17185,1499.492177,1465.046057,1389.164971
GNI per capita growth (annual %),West Bank and Gaza,6.994304895,-14.75424181,-0.456745437,1.96693269,-0.164355793,6.63063887,2.969397962,-0.633554704,3.339401006,4.112306935,7.818355795,2.726584159,3.44276517,4.506378931,2.360801448,-2.695207809,10.18170727,16.97289639,11.12242547,-15.99999656,-14.68212457,-14.74104967,5.49946519,15.00296611,10.92738197
savings,West Bank and Gaza,18.94616048,12.17484654,16.85982014,15.45448217,14.36621911,11.47746088,11.38985199,8.143042588,7.34119643,6.970331742,-0.486052552,7.706170438,8.098425882,26.83478213,16.45516412,1.204736496,-0.983698033,-6.506599596,1.528311033,12.43951922,9.350687167,11.62916409,9.147840641,9.620503077,5.705090696
internet,West Bank and Gaza,,74.6,70.6225837,64.39999371,63.3,59.9,56.7,53.67,46.6,43.4,41.08,37.4,32.23,24.358,21.176,18.41,16.005,4.400904826,4.130616356,3.100092235,1.836854839,1.111306207,,,
inflation,West Bank and Gaza,1.237481028,-0.735332001,1.580183336,-0.195107774,0.212570934,-0.219106605,1.431611458,1.7329851,1.724399336,2.779087683,2.877243585,3.749157276,2.753934851,9.889997887,1.859743794,3.842341256,4.107250707,3.004174986,4.403032217,5.70951586,1.222784759,2.798198924,5.544391804,5.579645058,7.087005912
immigration,West Bank and Gaza,,,,,,,5.473039752,,,,,6.341753548,,,,,7.448521593,,,,,8.53662206,,,
gender,West Bank and Gaza,17.50699997,16.40099907,18.34700012,17.63800049,17.63800049,17.41600037,17.98999977,16.56699944,15.83399963,16.18300056,15.64400005,14.06400013,14.61299992,14.7510004,15.06499958,13.54300022,12.82400036,12.91100025,12.5539999,10.11200047,10.09000015,12.4659996,12.41800022,12.35999966,12.31000042
education,West Bank and Gaza,71.77999878,68.90000153,74.06999969,74.08000183,77.23999786,76.97000122,77.15000153,72.80999756,75.09999847,75.18000031,76.48000336,77.38999939,77.66000366,77.08999634,78.37999725,77.13999939,79.90000153,79.26999664,80.30000305,77.98000336,79.48999786,81.73000336,,,
interest,West Bank and Gaza,5.555242497,5.517306574,5.931960713,5.872961038,5.792098398,6.149716534,6.782107783,6.408557252,7.515867936,6.968079817,6.786607607,6.33375,6.187694259,7.1875,7.9775,7.7275,7.335,7.2825,,,,,,,
literacy,West Bank and Gaza,,97.5144577,97.37825775,97.21861267,96.92440033,96.7191925,96.47711945,96.21292877,96.04602814,95.67101288,95.02581787,94.71748352,94.43018341,94.00984192,93.76170349,93.4508667,,92.47750854,,,,,,,86.0769577
militaryexp,West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,
oil,West Bank and Gaza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,West Bank and Gaza,,19.5,,19.5,,19.53763,,21.44433,,23.35102,,25.25772,,27.16442,,29.07112,,30,,30,,,,,
Real interest rate (%),West Bank and Gaza,-2.696645515,3.224785422,2.005298077,6.19365816,2.486483979,4.810218377,10.89292287,2.639404194,1.681032604,3.986036855,1.296514079,-6.062534962,4.256106484,-8.393294113,3.061237667,2.214923387,7.274690462,12.75706328,,,,,,,
ruralpop,West Bank and Gaza,22.997,23.281,23.56,23.836,24.106,24.372,24.632,24.887,25.137,25.381,25.619,25.851,26.077,26.296,26.509,26.724,26.939,27.155,27.373,27.591,27.811,28.031,28.253,28.476,28.813
servicesector,West Bank and Gaza,,60.55164599,61.10952228,59.97751373,58.99615575,60.9565477,61.68303226,61.42733583,60.76874699,59.97755644,60.21759148,57.69870371,57.83420112,57.46607573,60.51550114,58.2558944,57.31704938,57.41999957,59.98739919,63.49344733,56.87738842,54.95873516,50.58765686,51.81179016,52.54002872
"Share of tariff lines with international peaks, all products (%)",West Bank and Gaza,,,,,1.594367,2.145114,2.157497,2.141058,1.336561,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",West Bank and Gaza,,,,,0.0566526,0.0774334,0.124471,0.0104954,0.0210482,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",West Bank and Gaza,,,,,1.86,2.45,2.48,2.37,2.27,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",West Bank and Gaza,,,,,5.6,4.62,8.19,7.33,8.49,,,,,,,,,,,,,,,,
Tariffs,West Bank and Gaza,,,,,2.18,1.12,2.15,3.33,3.34,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",West Bank and Gaza,,,,,3.79,1.15,3.08,4.96,5.86,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",West Bank and Gaza,,,,,4.84,4.83,4.98,4.97,4.55,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",West Bank and Gaza,,,,,4.9,6.05,4.26,5.53,5.39,,,,,,,,,,,,,,,,
unemployment,West Bank and Gaza,26.38999939,25.88999939,25.34000015,26.26000023,25.68000031,23.94000053,23,20.53000069,19.88999939,19.20000076,17.60000038,21.42000008,20.45000076,22.90999985,18.28000069,19.01000023,20.02000046,23.20999908,23,27.45999908,21.48999977,10.63000011,,,
Exports,Wallis and Futuna,243,88,71,29,30,77,76,122,71,20,56,28,,,,,,,,,,,,,
Imports,Wallis and Futuna,1,0.1,0,0.4,,,,1.3,1.3,,,,,,,,,,,,,,,,
Exports,Virgin Islands ,1978,891,1036,3682,1184,3713,42418,11497,1107,15382,15544,14180,1568,5727,11626,12100,2218,82,7632,1601,55,,,,
Imports,Virgin Islands ,13,27,35,3,11,1,1,1,9,1,3,3,20,56,11,,0,267,0,56,,,,,
electricity,Virgin Islands ,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Virgin Islands ,64.60399888,63.6892845,62.67709811,61.62560609,60.50178782,59.31748807,58.07223258,56.79529104,55.53076325,54.353626,53.30492518,52.38443473,51.56099266,50.9434225,50.66894749,50.70367692,51.0298152,51.42326646,51.83521543,52.32827482,52.82779788,53.28319883,54.08845188,55.31689587,56.55214263
publicdebt,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
business,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
gdp,Virgin Islands ,,39552.1686,38596.03071,36653.86305,35365.0693,35324.97489,34007.35294,33045.36438,34597.97669,37795.31926,38997.13732,39905.12842,38753.18254,39152.37507,44158.5054,41377.1466,40828.74609,35006.36144,31731.25662,30062.02251,,,,,
GNI per capita growth (annual %),Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Virgin Islands ,,,,,64.3774943,59.6083158,54.8391373,50.07,45.3,40.5479,35.6,31.22,27.39650968,27.36177742,27.33933584,27.33261054,27.34431967,27.37700879,27.42907299,27.49443238,18.37576604,13.81508054,11.07460593,9.245220221,6.948368986
inflation,Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,
immigration,Virgin Islands ,,,,,,,53.36387841,,,,,53.28345021,,,,,52.56384084,,,,,52.17074767,,,
